Review
"I just realized that there is not coverage for my area, which I am surprised. I wonder why this information is not provided in the product description since I ended up with an expensive device I can't even activate. Even after struggling with the headache of activating it, when you go to Starlink website, there is no contacts for customer support for one to reach out to get the appropriate support. Also at the base of the Starlink dish where it fits into the stand, there were some marks...I suspect the product was used and somebody returned it."
Latency too high
"The kit as delivered requires an additional adapter to be integrated into an existing network.  Mounts sold on Jumia don’t work, buy directly from Starlink who deliver quickly. 
Speeds vary from 50mb/s to 140mb/s, but that depends on time of day and line of sight. Upload speeds are around 15-20mb/s. Slower upload speeds can be a problem if several people are online on calls."
Outstanding speeds
perfect
Plug and play.
Worked perfectly
"Got exactly what I expected, easy pickup, easy installation, and works very reliably!"
It worked for a few minutes then just randomly stopped working. After contacting Starlink support they sent out a new cable but that still hadn’t changed anything. The dish appeared to have been used and damaged i don’t know
excellent product
It was delivered on time.
"With a clear view of the sky, the kit works as expected (any obstructions will impact performance). Download speeds are awesome ???? and you won't get undersea cable cut incidents as you're connected to satellites. Can be a good backup for local fiber-optic internet. Monthly fee is a bit costly but it will get better with time."
Working perfectly
Speeds upto 312mbps
Great service ☺️
Very fast internet
Greatness tupu..
Great internet
"Starlink arrived as promised. Works as expected. This is the best access at this time, especially for remote and underdeveloped areas with unreliable cellular internet. Just make sure you have as much unobstructed view of the sky as possible. Highly recommend if you can afford it."
Its easyto install living it
Greatness
Good speeds
Satisfied ????
Strong signal and fast speeds
Fast connection
Not the best for Isp
Delivered on time and fast. Packaging intact. Dish Working great. Internet perfect! Highly recommend
Good!
The delivery took less than a week.
I got my Starlink Kit on Jumia and I am so happy with the quality of the internet - way better and overall cheaper than Safaricom.
"It has been 2 months of use and the device/hardware was delivered okay and all is working well, no dents on the packaging whatsoever. Comes with a manual and a sealed box.

Caveat to note when buying from an authorized reseller is 1st check with starlink.com if there is coverage in your area else you might end up with a device that you can’t use due to location restrictions ora device you can use albeit with a service plan you did not intend to have.

Good news is internet issues are a thing of the past. Speeds range between 70Mbps to 300Mbps. (From the tests done so far).

Point to note if you need any extra mounts and accessories get them from starlink.com.

The starlink app works well and has alot of features. I would suggest some research 1st before proceeding with the purchase. Simple YT vids should suffice.????"
The antenna and router took about 15 minutes to set up from opening the box. After that everything was automatic. Fast enough to stream Netflix and YouTube. Great service.
It is very fast and efficient
The device is reliable and I am able to receive internet with speeds of 200mb/s in rural Kenya.
It was delivered on time and is working perfectly.
Working perfectly fine
Fast internet speed
Got my kit in 24 hours and worked perfectly
"Great service, great download speeds, poor upload speeds but it’s decentralized"
Prompt delivery. High latency. Low upload speeds. High power consumption.
Actual product
Fast Internet Speeds
How do I get a receipt?
Real and quick
"It's next gen technology, but because of price people are not buying."
Delivery on time .. works perfectly. Recommend
"Good speed low latency though, improve on that and we are good to go"
The internet is more reliable than big local providers. No regrets. The router's wifi signal is not as strong. You might need a WIFI extender or ethernet adapter if you have a bigger compound.
